order_id,customer_id,product_id,quantity,unit_price,order_date,status
O00001,C0015,P02,1,34.5,2025-11-25,refunded
O00002,C0136,P04,3,59.99,2025-08-02,refunded
O00003,C0328,P01,2,129.99,2025-11-18,refunded
O00004,C0149,P05,2,45.0,2025-09-01,cancelled
O00005,C0208,P05,2,45.0,2025-03-15,cancelled
O00006,C0031,P03,2,79.0,2025-08-01,completed
O00007,C0238,P04,2,59.99,2025-11-07,completed
O00008,C0161,P06,3,89.95,2025-06-26,completed
O00009,C0067,P06,3,89.95,2025-10-15,completed
O00010,C0164,P04,2,59.99,2025-05-08,completed
O00011,C0231,P04,1,59.99,2025-06-01,completed
O00012,C0149,P07,3,149.0,2025-09-01,completed
O00013,C0082,P06,3,89.95,2025-06-10,completed
O00014,C0391,P03,2,79.0,2025-09-21,completed
O00015,C0256,P05,2,45.0,2025-03-31,completed
O00016,C0202,P08,1,39.99,2025-10-10,refunded
O00017,C0181,P01,1,129.99,2025-05-25,completed
O00018,C0306,P08,2,39.99,2025-10-02,completed
O00019,C0056,P07,1,149.0,2025-05-16,cancelled
O00020,C0188,P07,2,149.0,2025-09-21,completed
O00021,C0027,P04,2,59.99,2025-10-11,completed
O00022,C0038,P07,3,149.0,2025-08-19,refunded
O00023,C0144,P02,1,34.5,2025-10-19,completed
O00024,C0192,P06,3,89.95,2025-09-06,completed
O00025,C0102,P07,3,149.0,2025-09-21,completed
O00026,C0020,P03,3,79.0,2025-08-23,completed
O00027,C0266,P08,1,39.99,2025-11-07,refunded
O00028,C0072,P06,3,89.95,2025-06-13,completed
O00029,C0202,P05,3,45.0,2025-10-10,refunded
O00030,C0261,P08,3,39.99,2025-10-16,completed
O00031,C0244,P01,2,129.99,2025-07-09,cancelled
O00032,C0057,P07,3,149.0,2025-10-05,cancelled
O00033,C0353,P01,3,129.99,2025-08-31,completed
O00034,C0336,P04,3,59.99,2025-04-13,refunded
O00035,C0246,P03,3,79.0,2025-11-19,cancelled
O00036,C0318,P07,1,149.0,2025-12-15,completed
O00037,C0017,P02,1,34.5,2025-06-16,completed
O00038,C0161,P07,1,149.0,2025-07-31,cancelled
O00039,C0105,P07,3,149.0,2025-11-10,completed
O00040,C0377,P01,3,129.99,2025-03-20,refunded
O00041,C0107,P06,3,89.95,2025-09-02,refunded
O00042,C0193,P06,1,89.95,2025-08-24,refunded
O00043,C0176,P06,3,89.95,2025-12-15,cancelled
O00044,C0355,P05,3,45.0,2025-09-05,completed
O00045,C0127,P05,3,45.0,2025-07-14,completed
O00046,C0153,P05,3,45.0,2025-06-06,cancelled
O00047,C0361,P08,2,39.99,2025-09-03,completed
O00048,C0287,P05,2,45.0,2025-08-15,refunded
O00049,C0347,P07,2,149.0,2025-09-28,completed
O00050,C0149,P01,2,129.99,2025-09-01,completed
O00051,C0227,P05,3,45.0,2025-09-12,completed
O00052,C0104,P05,3,45.0,2025-05-20,completed
O00053,C0056,P04,1,59.99,2025-04-08,cancelled
O00054,C0272,P04,3,59.99,2025-10-12,completed
O00055,C0052,P07,2,149.0,2025-08-30,completed
O00056,C0349,P03,1,79.0,2025-10-09,completed
O00057,C0209,P08,2,39.99,2025-11-30,completed
O00058,C0388,P05,2,45.0,2025-07-04,cancelled
O00059,C0031,P02,3,34.5,2025-10-21,completed
